latitude,longitude,Year,TXm
-35,139,2000,21.09
-35,139,2001,20.69
-35,139,2002,21.01
-35,139,2003,20.52
-35,139,2004,20.77
-35,139,2005,21.21
-35,139,2006,21.32
-35,139,2007,21.98
-35,139,2008,21.08
-35,139,2009,21.85
-35,139,2010,20.91
-35,139,2011,20.9
-35,139,2012,21.13
-35,139,2013,21.82
-35,139,2014,21.86
-35,139,2015,21.44
-35,139,2016,21.09
-35,139,2017,21.72
-35,139,2018,22
-35,139,2019,22
-35,139,2020,20.75
-35,139,2021,20.78
-35,139,2022,20.36
-35,140,2000,23.73
-35,140,2001,23.34
-35,140,2002,23.9
-35,140,2003,23.19
-35,140,2004,23.51
-35,140,2005,23.78
-35,140,2006,23.98
-35,140,2007,24.55
-35,140,2008,23.61
-35,140,2009,24.33
-35,140,2010,23.13
-35,140,2011,23.3
-35,140,2012,23.62
-35,140,2013,24.3
-35,140,2014,24.29
-35,140,2015,23.95
-35,140,2016,23.54
-35,140,2017,24.31
-35,140,2018,24.69
-35,140,2019,24.57
-35,140,2020,23.23
-35,140,2021,23.45
-35,140,2022,22.85
-35,141,2000,24.05
-35,141,2001,23.77
-35,141,2002,24.46
-35,141,2003,23.62
-35,141,2004,23.8
-35,141,2005,24.04
-35,141,2006,24.37
-35,141,2007,24.68
-35,141,2008,23.77
-35,141,2009,24.58
-35,141,2010,23.25
-35,141,2011,23.55
-35,141,2012,24.01
-35,141,2013,24.53
-35,141,2014,24.7
-35,141,2015,24.38
-35,141,2016,23.98
-35,141,2017,24.65
-35,141,2018,25.03
-35,141,2019,25.01
-35,141,2020,23.59
-35,141,2021,23.97
-35,141,2022,23.09
-35,142,2000,23.85
-35,142,2001,23.8
-35,142,2002,24.5
-35,142,2003,23.81
-35,142,2004,23.97
-35,142,2005,24.22
-35,142,2006,24.47
-35,142,2007,24.61
-35,142,2008,23.84
-35,142,2009,24.8
-35,142,2010,23.41
-35,142,2011,23.71
-35,142,2012,24.38
-35,142,2013,25.07
-35,142,2014,25.21
-35,142,2015,24.63
-35,142,2016,24.38
-35,142,2017,24.95
-35,142,2018,25.44
-35,142,2019,25.35
-35,142,2020,23.9
-35,142,2021,24.07
-35,142,2022,23.24
-35,143,2000,23.91
-35,143,2001,23.97
-35,143,2002,24.8
-35,143,2003,23.99
-35,143,2004,24.01
-35,143,2005,24.21
-35,143,2006,24.57
-35,143,2007,24.72
-35,143,2008,24
-35,143,2009,24.9
-35,143,2010,23.3
-35,143,2011,23.75
-35,143,2012,24.26
-35,143,2013,25.13
-35,143,2014,25.39
-35,143,2015,24.68
-35,143,2016,24.24
-35,143,2017,24.92
-35,143,2018,25.42
-35,143,2019,25.26
-35,143,2020,23.99
-35,143,2021,23.91
-35,143,2022,23.09
-35,144,2000,23.7
-35,144,2001,23.93
-35,144,2002,24.74
-35,144,2003,23.71
-35,144,2004,23.83
-35,144,2005,23.85
-35,144,2006,24.4
-35,144,2007,24.6
-35,144,2008,23.91
-35,144,2009,24.79
-35,144,2010,23.03
